name,city,swift_code
"BANQUE DE FRANCE","PARIS","BDFEFR2TCBT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCP1"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCC1"
"BANQUE DE FRANCE","PARIS","BDFEFR2T4CB"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFAC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TPIV"
"BANQUE DE FRANCE","PARIS","BDFEFR2T200"
"BANQUE DE FRANCE","PARIS","BDFEFR2TBDF"
"BANQUE DE FRANCE","PARIS","BDFEFR2T188"
"BANQUE DE FRANCE","PARIS","BDFEFR2T179"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE15"
"BANQUE DE FRANCE","PARIS","BDFEFR2TESB"
"BANQUE DE FRANCE","PARIS","BDFEFR2TIAM"
"BANQUE DE FRANCE","PARIS","BDFEFR2T143"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE31"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCAI"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCBL"
"BANQUE DE FRANCE","PARIS","BDFEFR2TC31"
"BANQUE DE FRANCE","PARIS","BDFEFR2TC51"
"BANQUE DE FRANCE","PARIS","BDFEFR2TC10"
"BANQUE DE FRANCE","PARIS","BDFEFR2TC50"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSEE"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSCC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTIT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTRY"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCGN"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTCH"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFIC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TPOL"
"BANQUE DE FRANCE","PARIS","BDFEFRPPCCT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE30"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE10"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE14"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE11"
"BANQUE DE FRANCE","PARIS","BDFEFR2TE12"
"BANQUE DE FRANCE","PARIS","BDFEFR2TECR"
"BANQUE DE FRANCE","PARIS","BDFEFR2TEBE"
"BANQUE DE FRANCE","PARIS","BDFEFR2TENL"
"BANQUE DE FRANCE","PARIS","BDFEFR2T721"
"BANQUE DE FRANCE","PARIS","BDFEFR2T724"
"BANQUE DE FRANCE","PARIS","BDFEFR2T782"
"BANQUE DE FRANCE","PARIS","BDFEFR2T743"
"BANQUE DE FRANCE","PARIS","BDFEFR2T733"
"BANQUE DE FRANCE","PARIS","BDFEFR2T700"
"BANQUE DE FRANCE","PARIS","BDFEFR2T720"
"BANQUE DE FRANCE","PARIS","BDFEFR2T820"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTRA"
"BANQUE DE FRANCE","PARIS","BDFEFR2TDSE"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSFP"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFPR"
"BANQUE DE FRANCE","PARIS","BDFEFRPPSRD"
"BANQUE DE FRANCE","PARIS","BDFEFR2TGCO"
"BANQUE DE FRANCE","PARIS","BDFEFR2TGDP"
"BANQUE DE FRANCE","PARIS","BDFEFR2T243"
"BANQUE DE FRANCE","PARIS","BDFEFR2TIDD"
"BANQUE DE FRANCE","PARIS","BDFEFR2TIND"
"BANQUE DE FRANCE","PARIS","BDFEFRPPTEC"
"BANQUE DE FRANCE","PARIS","BDFEFRPPMAP"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFI1"
"BANQUE DE FRANCE","PARIS","BDFEFR2TFI2"
"BANQUE DE FRANCE","PARIS","BDFEFR2TOPC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TERM"
"BANQUE DE FRANCE","PARIS","BDFEFR2TNUM"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCCB"
"BANQUE DE FRANCE","PARIS","BDFEFR2LCCB"
"BANQUE DE FRANCE","PARIS","BDFEFR2TPOM"
"BANQUE DE FRANCE","PARIS","BDFEFR2TICM"
"BANQUE DE FRANCE","PARIS","BDFEFR2T104"
"BANQUE DE FRANCE","PARIS","BDFEFR2TTEM"
"BANQUE DE FRANCE","PARIS","BDFEFR2TCDT"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSRD"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSPM"
"BANQUE DE FRANCE","PARIS","BDFEFR2TDMC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSAI"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSPE"
"BANQUE DE FRANCE","PARIS","BDFEFRPPTIT"
"BANQUE DE FRANCE","PARIS","BDFEFRPPCMI"
"BANQUE DE FRANCE","PARIS","BDFEFR2TETC"
"BANQUE DE FRANCE","PARIS","BDFEFR2TSIP"
"BANQUE DE FRANCE","PARIS","BDFEFR2TPUB"
"BANQUE DE FRANCE","PARIS","BDFEFR2T102"
"BANQUE DE FRANCE","POITIERS","BDFEFR2TFTC"
"BANQUE DE SAVOIE S.A.","CHAMBERY","BSAVFR2C"
"BANQUE DELUBAC ET CIE","LE CHEYLARD","DELUFR22LCH"
"BANQUE DELUBAC ET CIE","LE CHEYLARD","DELUFR22"
"BANQUE DUPUY, DE PARSEVAL","SETE","BDUPFR2S"
"BANQUE EDEL SNC","LABEGE","EDELFR22"
"BANQUE FEDERALE DES BANQUES POPULAIRES (BANQUES POPULAIRES REGIONALES)","PARIS","CCBPFRPPINS"
"BANQUE FIDUCIAL (FORMERLY BANQUE THEMIS)","COURBEVOIE","BDEIFRPP"
"BANQUE FRANCAISE COMMERCIALE DE L'OCEAN INDIEN","PARIS","BFCOFRPP"
"BANQUE INTERNATIONALE DE COMMERCE-BRED","PARIS","BICFFRPP"
"BANQUE LAYDERNIER","ANNECY","LAYDFR2W"
"BANQUE MARTIN-MAUREL","MARSEILLE","BMMMFRCP"
"BANQUE MICHEL INCHAUSPE - BAMI","BORDEAUX","BAMYFR22BDX"
"BANQUE MICHEL INCHAUSPE - BAMI","SAINT-JEAN-PIED-DE-PORT","BAMYFR22"
"BANQUE MISR - SUCCURSALE DE PARIS","PARIS","BMISFRPP"
"BANQUE NEUFLIZE OBC","PARIS","NSMBFRPP"
"BANQUE NOMURA FRANCE S.A.","PARIS","NOMAFRPP"
"BANQUE PALATINE","FONTENAY SOUS BOIS","BSPFFRPP"
"BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE","METZ","CCBPFRPPMTZ"
"BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE (FORMER BANQUE POPULAIRE ALSACE)","STRASBOURG","CCBPFRPPSTR"
"BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE","BORDEAUX","CCBPFRPPBDX"
"BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE","BORDEAUX","CCBPFRPP169"
"BANQUE POPULAIRE AUVERGNE RHONE ALPES","LYON","CCBPFRPPCFD"
"BANQUE POPULAIRE AUVERGNE RHONE ALPES","LYON","CCBPFRPPLYO"
"BANQUE POPULAIRE AUVERGNE RHONE ALPES","LYON","CCBPFRPPGRE"
"BANQUE POPULAIRE BOURGOGNE FRANCHE COMTE","DIJON","CCBPFRPPDJN"
"BANQUE POPULAIRE DU NORD","MARCQ EN BAROEUL","CCBPFRPPLIL"
"BANQUE POPULAIRE DU SUD","PERPIGNAN","CCBPFRPPPPG"
"BANQUE POPULAIRE GRAND OUEST","RENNES","CCBPFRPP149"
"BANQUE POPULAIRE GRAND OUEST","RENNES","CCBPFRPPREN"
"BANQUE POPULAIRE GRAND OUEST","RENNES","CCBPFRPPNAN"
"BANQUE POPULAIRE GRAND-OUEST","RENNES","CCBPFRPP219"
"BANQUE POPULAIRE MEDITERRANEE","NICE","CCBPFRPPNCE"
"BANQUE POPULAIRE MEDITERRANEE","NICE","CCBPFRPPCHX"
"BANQUE POPULAIRE MEDITERRANEE","NICE","CCBPFRPPMAR"
"BANQUE POPULAIRE OCCITANE","BALMA","CCBPFRPPTLS"
"BANQUE POPULAIRE RIVES DE PARIS","PARIS","CCBPFRPPMTG"
"BANQUE POPULAIRE VAL DE FRANCE","MONTIGNY LE BRETONNEUX","CCBPFRPPVER"
"BANQUE PSA FINANCE SA","GENNEVILLIERS","PSABFRPP"
"BANQUE REVILLON","PARIS","REVIFRPP"
"BANQUE RHONE ALPES","GRENOBLE","RALPFR2G"
"BANQUE RICHELIEU FRANCE","PARIS","KBLXFRPP"
"BANQUE SBA","PARIS","SBAAFRPPTGT"
"BANQUE SBA","PARIS","SBAAFRPP"
"BANQUE TARNEAUD","LIMOGES","TARNFR2L"
"BANQUE TRAVELEX SA","NANTERRE","TRAVFRPP"
"BANQUE WORMSER FRERES / BANQUE D'ESCOMPTE","PARIS","ESCBFRPPBDF"
"BANQUE WORMSER FRERES / BANQUE D'ESCOMPTE","PARIS","ESCBFRPP"
"BANQUES POPULAIRES-GROUPE BPCE","PARIS","CCBPFRPP"
"BARCLAYS BANK IRELAND PLC PARIS","PARIS","BARCFRPC"
"BARCLAYS BANK IRELAND PLC PARIS","PARIS","BARCFRPP"
"BEL","SURESNES","FBELFRPP"
"BELIEVE S.A.S.","PARIS","BEEVFRPP"
"BEMO EUROPE BANQUE PRIVEE","PARIS","BEMOFRPP"
"BENETEAU","SAINT-GILLES-CROIX-DE-VIE","BNTOFR2S"
"BGFIBANK EUROPE","PARIS","BGFIFRPPFGX"
"BGFIBANK EUROPE","PARIS","BGFIFRPPRSV"
"BGFIBANK EUROPE","PARIS","BGFIFRPP"
"BIG MAMMA FOOD SAS","PARIS","BIGMFRPP"
"BIOMERIEUX","MARCY L'ETOILE","BIOMFR22"
"BLOM BANK FRANCE","PARIS","BLOMFRPPBDF"
"BLOM BANK FRANCE","PARIS","BLOMFRPP"
"BM SOFTWARE","NICE","BMSOFR23"
"BMCE BANK INTERNATIONAL PLC SUCCURSALE EN FRANCE","PARIS","BMCEFRPP"
"BNP PARIBAS (FORMERLY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPH"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPAGY"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPMOR"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPOTC"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPPRE"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPOST"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPLON"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPSVC"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPFND"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPTRE"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPPUSA"
"BNP PARIBAS ARBITRAGE","PARIS","BNABFRPP"
"BNP PARIBAS ASSET MANAGEMENT","PARIS","PARBFRPM"
"BNP PARIBAS FINAMS","PARIS","FAMSFRPP"
"BNP PARIBAS HOME LOAN SFH","PARIS","BNPAFRPL"
"BNP PARIBAS PUBLIC SECTOR SCF","PARIS","BNPAFRPS"
"BNP PARIBAS SA (FORMELY BANQUE NATIONALE DE PARIS S.A.)","PARIS","BNPAFRPPBRO"
"BNP PARIBAS SECURITIES SERVICES","PARIS","BPASFRPP"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRPH"
"BNP PARIBAS SECURITIES SERVICES","PARIS","BPASFRPPLUX"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRKA"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRKB"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRKC"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRKD"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRKE"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRKF"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRCB"
"BNP PARIBAS SECURITIES SERVICES","PARIS","PARBFRCP"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPAXA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPBEC"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPBEX"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPFDA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPGOS"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPISI"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNLC"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNLX"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNMC"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNMP"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPCDC"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPDNL"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPOPT"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPSFI"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP3DB"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPPKG"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPTSU"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPAGL"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPNMJ"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPUFO"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPFSF"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPCHE"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP344"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPP352"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPBOA"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPFHO"
"BNP PARIBAS SECURITIES SERVICES, FRANCE","PARIS","PARBFRPPGIN"
